Vendor|VendorAbbr|CountryCode|ProductID|ProductDescription|ProductType|ProductLine|Finish|UOM|Zero81|PkQtyForPricing|Keynote
ABLOY|AY|UK|3-20/0630-PC|Primo Handle For EL490|FN|Primo|PC|EA|70.43|1|9.1
ABLOY|AY|UK|60-0119-SSS|Futura Lever & Knob EL520|FN|Futura|SSS|PAIR|141.64|1|9.1
ABLOY|AY|UK|60-0319-SSS|Futura Rose Levers EL560 /EL561|FN|Futura|SSS|PAIR|80.77|1|9.1
ABLOY|AY|UK|60-0419-SSS|Futura Long Plate Levers EL560 /EL561|FN|Futura|SSS|PAIR|88.61|1|9.1
ABLOY|AY|UK|60-0819-SSS|Futura Long Plate Levers EL460/EL461|FN|Futura|SSS|PAIR|88.31|1|9.1
ABLOY|AY|UK|CY201-TT-PC-MK|PROTEC2 SCAN Single Cylinder Mastered PC|CY|PROTEC|PC|EA|84.26|1|1.1
ABLOY|AY|UK|CY202-TT-PC-MK|PROTEC2 SCAN Double Cylinder Mastered PC|CY|PROTEC|PC|EA|120.63|1|1.1
ABLOY|AY|UK|CY326-PT-SC-DF|Single Europrofile Cylinder Protec 36mm|CY|PROTEC|SC|EA|69.53|1|1.1
ABLOY|AY|UK|DA460/S|DA460S Automatic Swing Door Operator PUSH Function|DO|DA460|SIL|EA|2208.64|1|25.2
ABLOY|AY|UK|EA218|ABLOY DIN Connection Cable|EA|CABLE|n/a|EA|28.45|1|19.4
ABLOY|AY|UK|EA280|Lead Cover|EA|COVER|n/a|EA|28.45|1|19.2
ABLOY|AY|UK|EA288/02|ABLOY SPLIT SPINDLE 57/50MM, 8MM|OT|Accessories|n/a|EA|13.76|1|26.1
ABLOY|AY|UK|EL404|ABLOY Sol Dual Act Euro Fail Locked Lock W/EA307|EM|EL404|PC|EA|26.33|1|2.2
ABLOY|AY|UK|EL460-30MM|DIN Solenoid Lock 30mm backset|EM|EL460|SSS|EA|509.42|1|2.2
ABLOY|AY|UK|EL461-35MM|DIN Soleniod Lock 35mm backset|EM|EL461|SSS|EA|509.42|1|2.2
ABLOY|AY|UK|EL490-29MM|Motor Lockcase 29 mm backset|EM|EL490|PC|EA|868.75|1|2.2
ABLOY|AY|UK|EL520-60MM|DIN Motor Lock 60mm backset|EM|EL520|SSS|EA|1042.55|1|2.2
ABLOY|AY|UK|EL520-65MM|DIN Motor Lock 65mm backset|EM|EL520|SSS|EA|1042.55|1|2.2
ABLOY|AY|UK|EL560-60MM|DIN Solenoid Lock 60mm backset|EM|EL560|SSS|EA|452.81|1|2.2
ABLOY|AY|UK|EL560-65MM|DIN Solenoid Lock 65mm backset|EM|EL560|SSS|EA|452.81|1|2.2
ABLOY|AY|UK|EL561-60MM|DIN Solenoid Lock 60mm backset|EM|EL561|SSS|EA|452.81|1|2.2
